0,27.57
1,27.57
2,27.55
3,27.54
4,27.53
5,27.54
6,27.51
7,27.53
8,27.52
9,27.52
10,27.51
11,27.51
12,27.5
13,27.49
14,27.49
15,27.47
16,27.49
17,27.46
18,27.45
19,27.46
20,27.45
21,27.45
22,27.45
23,27.45
24,27.45
25,27.45
26,27.45
27,27.45
28,27.43
29,27.43
30,27.41
31,27.43
32,27.4
33,27.42
34,27.4
35,27.42
36,27.4
37,27.38
38,27.39
39,27.4
40,27.38
41,27.4
42,27.39
43,27.38
44,27.38
45,27.37
46,27.37
47,27.39
48,27.39
49,27.36
50,27.36
51,27.37
52,27.38
53,27.36
54,27.35
55,27.35
56,27.38
57,27.36
58,27.36
59,27.36
60,27.36
61,27.37
62,27.36
63,27.36
64,27.36
65,27.37
66,27.36
67,27.37
68,27.39
69,27.37
70,27.4
71,27.4
72,27.43
73,27.42
74,27.42
75,27.4
76,27.41
77,27.44
78,27.44
79,27.45
80,27.43
81,27.45
82,27.44
83,27.45
84,27.46
85,27.46
86,27.46
87,27.47
